iter	Passed	Remaining
455	833	994
456	834	991
457	836	989
458	837	987
459	838	984
460	840	982
461	841	979
462	842	977
463	843	974
464	845	973
465	847	971
466	849	969
467	850	966
468	852	964
469	853	962
470	855	960
471	856	958
472	858	956
473	860	955
474	862	953
475	864	951
476	866	949
477	867	947
478	869	945
479	870	943
480	871	940
481	874	939
482	876	937
483	877	935
484	879	934
485	881	931
486	882	929
487	883	927
488	884	924
489	886	922
490	888	920
491	890	919
492	891	916
493	893	914
494	894	912
495	895	910
496	896	907
497	897	905
498	899	902
499	900	900
500	902	898
501	903	896
502	905	894
503	907	892
504	908	890
505	909	888
506	911	885
507	912	883
508	913	881
509	915	879
510	916	876
511	918	875
512	919	873
513	921	871
514	922	868
515	923	866
516	925	864
517	926	862
518	927	859
519	929	857
520	931	856
521	933	854
522	934	852
523	935	850
524	936	847
525	937	845
526	939	842
527	940	840
528	941	838
529	942	835
530	943	833
531	945	831
532	947	829
533	948	827
534	949	825
535	951	823
536	952	821
537	953	818
538	955	816
539	956	814
540	959	814
541	961	812
542	962	810
543	963	808
544	965	805
545	966	803
546	967	801
547	968	798
548	969	796
549	970	794
550	973	793
551	974	791
552	976	789
553	977	787
554	979	785
555	980	782
556	981	780
557	982	778
558	984	776
559	985	774
560	988	773
561	990	772
562	992	770
563	993	767
564	994	765
565	996	763
566	997	761
567	998	759
568	1000	757
569	1002	756
570	1004	754
571	1005	752
572	1007	750
573	1008	748
574	1009	746
575	1010	744
576	1011	741
577	1013	740
578	1015	738
579	1018	737
580	1020	735
581	1021	733
582	1022	731
583	1024	729
584	1025	727
585	1027	726
586	1033	727
587	1035	725
588	1037	724
589	1039	722
590	1042	721
591	1044	720
592	1046	718
593	1049	717
594	1051	715
595	1052	713
596	1054	711
597	1056	710
598	1057	708
599	1062	708
600	1064	706
601	1065	704
602	1066	702
603	1068	700
604	1070	698
605	1072	697
606	1074	695
607	1076	694
608	1078	692
609	1079	690
610	1081	688
611	1084	687
612	1086	686
613	1089	684
614	1092	683
615	1094	681
616	1095	679
617	1097	678
618	1099	676
619	1100	674
620	1102	672
621	1104	671
622	1106	669
623	1108	667
624	1109	665
625	1111	663
626	1112	661
627	1113	659
628	1115	657
629	1116	655
630	1127	659
631	1129	657
632	1131	656
633	1134	655
634	1136	653
635	1139	651
636	1140	650
637	1143	648
638	1144	646
639	1145	644
640	1148	643
641	1150	641
642	1152	639
643	1154	638
644	1156	636
645	1158	634
646	1160	632
647	1161	630
648	1166	630
649	1168	628
650	1169	627
651	1171	625
652	1172	623
653	1174	621
654	1175	619
655	1177	617
656	1179	615
657	1182	614
658	1183	612
659	1185	610
660	1186	608
661	1188	606
662	1189	604
663	1192	603
664	1194	601
665	1196	600
666	1199	598
667	1201	596
668	1202	594
669	1204	593
670	1207	592
671	1209	590
672	1211	588
673	1213	586
674	1214	584
675	1216	583
676	1217	580
677	1218	578
678	1223	578
679	1225	576
680	1226	574
681	1227	572
682	1228	570
683	1230	568
684	1231	566
685	1232	564
686	1233	562
687	1240	562
688	1242	560
689	1243	558
690	1245	556
691	1246	554
692	1249	553
693	1251	551
694	1256	551
695	1260	550
696	1263	549
697	1266	548
698	1270	546
699	1271	545
700	1272	542
701	1274	540
702	1275	538
703	1277	536
704	1278	535
705	1282	534
706	1284	532
707	1285	530
708	1287	528
709	1288	526
710	1289	524
711	1291	522
712	1292	520
713	1294	518
714	1296	516
715	1299	515
716	1300	513
717	1302	511
718	1303	509
719	1304	507
720	1306	505
721	1307	503
722	1310	501
723	1311	500
724	1313	498
725	1314	496
726	1316	494
727	1317	492
728	1319	490
729	1320	488
730	1321	486
731	1323	484
732	1325	482
733	1327	480
734	1328	478
735	1329	476
736	1330	474
737	1332	472
738	1333	470
739	1334	468
740	1335	466
741	1337	464
742	1339	463
743	1340	461
744	1342	459
745	1343	457
746	1344	455
747	1345	453
748	1347	451
749	1349	449
750	1350	447
751	1354	446
752	1355	444
753	1357	442
754	1358	440
755	1359	438
756	1361	436
757	1362	435
758	1364	433
759	1365	431
760	1368	429
761	1370	427
762	1371	426
763	1372	424
764	1374	422
765	1375	420
766	1377	418
767	1378	416
768	1379	414
769	1381	412
770	1383	410
771	1384	409
772	1386	407
773	1388	405
774	1390	403
775	1391	401
776	1392	399
777	1393	397
778	1394	395
779	1397	394
780	1398	392
781	1400	390
782	1402	388
783	1403	386
784	1404	384
785	1405	382
786	1406	380
787	1407	378
788	1408	376
789	1410	374
790	1412	373
791	1414	371
792	1416	369
793	1417	367
794	1418	365
795	1420	363
796	1421	362
797	1422	360
798	1425	358
799	1426	356
800	1429	355
801	1430	353
802	1432	351
803	1433	349
804	1434	347
805	1436	345
806	1437	343
807	1440	342
808	1443	340
809	1445	339
810	1446	337
811	1447	335
812	1449	333
813	1450	331
814	1451	329
815	1453	327
816	1455	325
817	1457	324
818	1458	322
819	1459	320
820	1461	318
821	1462	316
822	1463	314
823	1464	312
824	1466	311
825	1467	309
826	1470	307
827	1471	305
828	1472	303
829	1474	301
830	1475	300
831	1476	298
832	1477	296
833	1478	294
834	1480	292
835	1483	290
836	1484	289
837	1486	287
838	1487	285
839	1489	283
840	1490	281
841	1491	279
842	1492	277
843	1493	276
844	1494	274
845	1497	272
846	1499	270
847	1501	269
848	1502	267
849	1503	265
850	1504	263
851	1506	261
852	1507	259
853	1508	257
854	1511	256
855	1512	254
856	1514	252
857	1515	250
858	1516	248
859	1518	247
860	1519	245
861	1520	243
862	1521	241
863	1523	239
864	1525	238
865	1527	236
866	1528	234
867	1530	232
868	1531	230
869	1532	229
870	1533	227
871	1535	225
872	1536	223
873	1538	221
874	1541	220
875	1542	218
876	1544	216
877	1545	214
878	1546	212
879	1548	211
880	1549	209
881	1550	207
882	1551	205
883	1553	203
884	1555	202
885	1556	200
886	1558	198
887	1559	196
888	1560	194
889	1561	193
890	1562	191
891	1564	189
892	1566	187
893	1567	185
894	1569	184
895	1570	182
896	1571	180
897	1573	178
898	1574	176
899	1576	175
900	1577	173
901	1579	171
902	1580	169
903	1581	167
904	1583	166
905	1585	164
906	1586	162
907	1587	160
908	1589	159
909	1590	157
910	1592	155
911	1593	153
912	1594	151
913	1596	150
914	1598	148
915	1600	146
916	1601	144
917	1602	143
918	1603	141
919	1604	139
920	1606	137
921	1607	136
922	1608	134
923	1609	132
924	1612	130
925	1614	128
926	1615	127
927	1617	125
928	1618	123
929	1619	121
930	1620	120
931	1622	118
932	1623	116
933	1624	114
934	1627	113
935	1628	111
936	1630	109
937	1631	107
938	1633	106
939	1634	104
940	1635	102
941	1636	100
942	1638	99
943	1640	97
944	1641	95
945	1643	93
946	1645	92
947	1647	90
948	1648	88
949	1649	86
950	1651	85
951	1652	83
952	1654	81
953	1656	79
954	1657	78
955	1659	76
956	1661	74
957	1662	72
958	1663	71
959	1665	69
960	1666	67
961	1667	65
962	1669	64
963	1670	62
964	1672	60
965	1673	58
966	1675	57
967	1676	55
968	1677	53
969	1679	51
970	1680	50
971	1681	48
972	1683	46
973	1685	44
974	1687	43
975	1688	41
976	1690	39
977	1691	38
978	1693	36
979	1694	34
980	1695	32
981	1698	31
982	1700	29
983	1702	27
984	1703	25
985	1704	24
986	1706	22
987	1707	20
988	1708	19
989	1709	17
990	1711	15
991	1712	13
992	1713	12
993	1715	10
994	1717	8
995	1718	6
996	1719	5
997	1720	3
998	1721	1
999	1722	0
